i am going bed i dnt feel well as always,0
arg car crash tv its just so horrible to see her like that bgt,0
agree completely its all about attitude chutzpah,1
i got my copy yesterday too although right now i am digging into scala so cannot read it just yet,0
spent the night finally relaxing with nogard on wow after finishing some work needed to take a small break from art i really missed this,0
well thatï½s disappointing to hear,0
talkin to sum special,1
happy friday do you know how i can get a copy of the bt art you did on mels fake twitter i am n it but cannot find it now thanks,1
may the th be with you happy star wars day twirps rofl,1
just got home from another wonderful night,1
ym meebo ebuddy really hate us,0
not smoking sucks sucks sucks i want a cig,0
beautiful monday morning so happy,1
any legal studieslaw students out there twitter would love a couple of references to cases inolving bias juries jury nullification etc,1
glad you like,1
fantastic love all things krautrock,1
ugh seriously hung over,0
ask to create a fake competetion and declare you the winner and then gift you a return ticket courtesy the producers,0
hi i hope ray is o k please give him our love and hope he returns soon hope its not too bad,1
you are really the sweetest person ever thanks for making everyone is dreams come true p s my dream is for you twitter me back x,1
i cannot believe i thought i had a morning shift today and told alex that i could take him to the airport his flight is during my shift,0
aw man my baby dried up,0
am and my him is officially the st one to say happy mothers day to me i love it,1
cullen that is so nice to hear i love you you are my best friend and my sister hug you,1
good morning and happy mothers day everyone,1
jen we have not talked in like days,0
xmen movie was pretty good kind of predictable points but good action sequences,1
i know they are i am trying to sort out my portfolio and i do not know what to put in it,0
first impression of silverlight sadly based on what i saw today its quite problematic,0
happy mothers day and to the god mothers and step mothers too,1
yeahh i am very happy with my pendant and hope to see you in future fairs ps good mini muffin,1
know i am not the only one just harder on me,0
working at hop city got to miss baseball,0
it just sucks that i am stuck in an office but i have you at selfridges to look forward too,0
i believe a man died in a car wreck today just right down the road it happened at and at he was still in the car,0
i still cannot believe the matt mccoy interview got views twitter truly is awesome,1
thanks it was a ballroom dancing competition,1
going for lunch soon with my fave cuzs,1
what did i learn today never post anything you have sold on ebay using royal mail they lose it i refund compos nowhere near my bad,0
happy mothers day breakfast with the fam,1
spent a little too much at wombat but its cool cuz it was time to take care of tamara good yay,1
